Contactor initially off.....!
ADC Complete!
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
UV Limit set to = 0.555
OV_limit set to = 3.500
OVTF limit set to = 35degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
0.994,1.000,11.997,32.751,33.857,0,0,0,0,,0.994,1.000,11.938,32.763,38.305,0,0,0,0,,0.994,1.000,11.797,33.999,34.602,0,0,0,0,,0.994,1.000,12.050,31.333,31.694,0,0,0,0,
0.990,0.999,11.773,32.838,33.999,0,0,0,0,,0.990,0.999,11.909,33.204,38.891,8,0,0,0,,0.990,0.999,11.865,34.012,34.616,0,0,0,0,,0.990,0.999,12.050,31.333,31.694,0,0,0,0,
Device : 1	Faults seen :	OVTF=1

Fault detected hence turning off the contactor first and waiting for fault recovery
In Fault Mode...!Clear all faults now...!
ReCovered! now read back data again and see if fault is there or not?
Recovered from fault,turning On contactor.....!
0.993,1.000,11.982,33.103,34.169,0,0,0,0,,0.993,1.000,11.943,33.573,35.817,0,0,0,0,,0.993,1.000,12.084,33.792,34.378,0,0,0,0,,0.993,1.000,12.031,31.202,31.537,0,0,0,0,
0.993,1.000,11.982,33.103,34.169,0,0,0,0,,0.993,1.000,11.943,33.573,35.817,0,0,0,0,,0.993,1.000,12.084,33.792,34.378,0,0,0,0,,0.993,1.000,12.040,31.202,31.537,0,0,0,0,
0.993,0.999,11.982,33.128,34.103,0,0,0,0,,0.993,0.999,11.948,33.612,35.488,0,0,0,0,,0.993,0.999,11.724,33.740,34.352,0,0,0,0,,0.993,0.999,12.040,31.202,31.537,0,0,0,0,
0.993,0.999,11.982,33.128,34.103,0,0,0,0,,0.993,0.999,11.948,33.612,35.488,0,0,0,0,,0.993,0.999,11.724,33.740,34.352,0,0,0,0,,0.993,0.999,12.045,31.178,31.525,0,0,0,0,
0.993,0.999,11.987,33.128,34.038,0,0,0,0,,0.993,0.999,11.948,33.625,35.285,0,0,0,0,,0.993,0.999,12.065,33.702,34.313,0,0,0,0,,0.993,0.999,12.045,31.178,31.525,0,0,0,0,
0.993,0.999,11.987,33.128,34.038,0,0,0,0,,0.993,0.999,11.948,33.625,35.285,0,0,0,0,,0.993,0.999,12.065,33.702,34.313,0,0,0,0,,0.993,0.999,12.050,31.154,31.489,0,0,0,0,
0.988,0.998,11.783,33.141,33.986,0,0,0,0,,0.988,0.998,11.933,33.599,35.056,0,0,0,0,,0.988,0.998,12.074,33.663,34.273,0,0,0,0,,0.988,0.998,12.050,31.154,31.489,0,0,0,0,
0.988,0.998,11.783,33.141,33.986,0,0,0,0,,0.988,0.998,11.933,33.599,35.056,0,0,0,0,,0.988,0.998,12.074,33.663,34.273,0,0,0,0,,0.988,0.998,12.055,31.118,31.465,0,0,0,0,
0.994,1.001,12.001,33.128,33.921,0,0,0,0,,0.994,1.001,11.685,33.586,34.922,0,0,0,0,,0.994,1.001,11.773,33.638,34.234,0,0,0,0,,0.994,1.001,12.055,31.118,31.465,0,0,0,0,
0.994,1.001,12.001,33.128,33.921,0,0,0,0,,0.994,1.001,11.685,33.586,34.922,0,0,0,0,,0.994,1.001,11.773,33.638,34.234,0,0,0,0,,0.994,1.001,12.031,31.106,31.429,0,0,0,0,
0.993,1.000,11.987,33.128,33.857,0,0,0,0,,0.993,1.000,11.943,33.535,34.788,0,0,0,0,,0.993,1.000,11.899,33.586,34.208,0,0,0,0,,0.993,1.000,12.031,31.106,31.429,0,0,0,0,
0.993,1.000,11.987,33.128,33.857,0,0,0,0,,0.993,1.000,11.943,33.535,34.788,0,0,0,0,,0.993,1.000,11.899,33.586,34.208,0,0,0,0,,0.993,1.000,12.035,31.095,31.405,0,0,0,0,
0.993,0.999,11.987,33.103,33.831,0,0,0,0,,0.993,0.999,11.948,33.497,34.616,0,0,0,0,,0.993,0.999,12.069,33.573,34.169,0,0,0,0,,0.993,0.999,12.035,31.095,31.405,0,0,0,0,
0.993,0.999,11.987,33.103,33.831,0,0,0,0,,0.993,0.999,11.948,33.497,34.616,0,0,0,0,,0.993,0.999,12.069,33.573,34.169,0,0,0,0,,0.993,0.999,12.035,31.059,31.393,0,0,0,0,
0.993,1.000,11.987,33.090,33.766,0,0,0,0,,0.993,1.000,11.389,33.445,34.523,0,0,0,0,,0.993,1.000,11.914,33.548,34.142,0,0,0,0,,0.993,1.000,12.035,31.059,31.393,0,0,0,0,
